UserID,Age,Gender
1,47,M
2,52,M
3,53,F
4,46,M
5,51,M
6,41,F
7,41,F
8,55,F
9,23,F
10,19,F
11,25,M
12,24,F
13,44,M
14,45,M
15,45,F
16,55,M
17,18,M
18,31,M
19,33,F
20,26,M
21,47,M
22,49,F
23,50,M
24,52,M
25,33,F
26,34,F
27,40,M
28,37,F
29,56,M
30,38,F
31,19,M
32,51,M
33,32,F
34,52,M
35,38,F
36,29,F
37,26,M
38,33,F
39,23,M
40,53,F
41,21,M
42,59,F
43,55,M
44,19,M
45,45,M
46,29,M
47,26,F
48,55,F
49,27,F
50,23,M
51,44,F
52,24,F
53,27,F
54,24,F
55,45,F
56,44,M
57,19,F
58,37,F
59,38,M
60,22,M
61,36,F
62,54,M
63,34,F
64,42,M
65,26,F
66,31,M
67,26,F
68,56,F
69,24,M
70,39,F
71,37,F
72,51,M
73,53,F
74,37,F
75,45,F
76,54,F
77,51,M
78,40,F
79,22,F
80,37,M
81,38,M
82,27,F
83,56,F
84,45,M
85,41,M
86,46,F
87,54,M
88,59,M
89,39,F
90,35,M
91,20,M
92,23,M
93,44,M
94,47,F
95,40,F
96,36,M
97,50,F
98,29,F
99,53,F
100,58,F
